ID,Pagina,Seccion,Nombre archivo final,Orientacion,Medidas px,Categoria,Descripcion del contenido,Sugerencia de toma,Prioridad,Estado,Notas
DM-001,index,why-tecnologia,home-why-tecnologia-02.webp,Cuadrado,1600x1600,Tecnologia,"Tecnologia digital o equipo de diagnostico (escaner intraoral, panoramica, tomografia 3D)","Plano cerrado del equipo en uso, luz natural, sin manos de paciente visibles",Alta,Pendiente,Reemplaza placeholder en carrusel why
DM-002,dentista-cumbaya,carousel-tecnologia,sede-cumbaya-tecnologia-03.webp,Cuadrado,1600x1600,Tecnologia,Escaner intraoral o tomografo en sede Cumbaya,"Tecnologia en uso, foco en el equipo, ambiente clinico iluminado",Alta,Pendiente,Reemplaza placeholder carrusel sede Cumbaya
DM-003,dentista-norte-quito,carousel-equipo,sede-norte-equipo-02.webp,Cuadrado,1600x1600,Doctor,Doctora atendiendo a paciente en sede Norte,"Plano medio, doctora con uniforme, paciente en sillon, iluminacion clinica calida",Alta,Pendiente,Requiere consentimiento del paciente
DM-004,implantes-dentales-quito,hero,implantes-quito-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal pagina implantes Quito: paciente sonriendo en sillon o close-up de implante en mano del doctor","Vertical 4:5, formato Stories. Luz natural lateral, sin texto sobreimpreso",Alta,Pendiente,LCP image - debe ser de alta calidad
DM-005,implantes-dentales-quito,result,implantes-quito-resultado-01.webp,Vertical,1600x2000,Resultado,Antes/despues de implante dental real,"Comparativa lado a lado o close-up de sonrisa final. Misma iluminacion en ambas",Alta,Pendiente,Requiere consentimiento firmado del paciente
DM-006,implantes-cumbaya,hero,implantes-cumbaya-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal pagina implantes Cumbaya: paciente o equipamiento de la sede","Vertical 4:5. Diferenciar visualmente de la version Norte (otra paciente, otro angulo)",Alta,Pendiente,No usar misma foto que implantes-quito-hero
DM-007,implantes-cumbaya,result,implantes-cumbaya-resultado-01.webp,Vertical,1600x2000,Resultado,Antes/despues de implante dental en sede Cumbaya,"Comparativa, paciente diferente al de implantes-quito-resultado",Alta,Pendiente,Consentimiento + foto distinta de la sede Norte
DM-008,ortodoncia-quito,hero,ortodoncia-quito-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal ortodoncia: brackets, invisalign o paciente joven sonriendo","Plano medio o close-up de boca con brackets/alineadores",Alta,Pendiente,Idealmente paciente adolescente o adulto joven
DM-009,ortodoncia-quito,result,ortodoncia-quito-resultado-01.webp,Vertical,1600x2000,Resultado,Antes/despues de tratamiento de ortodoncia,"Sonrisa antes con dientes desalineados / despues con sonrisa final",Alta,Pendiente,Consentimiento + caso real de la clinica
DM-010,blanqueamiento-dental-quito,hero,blanqueamiento-quito-hero-01.webp,Vertical,1600x2000,Hero,"Foto principal blanqueamiento: paciente con sonrisa blanca o aplicacion del tratamiento","Close-up de sonrisa blanca o sesion de blanqueamiento",Alta,Pendiente,Iluminacion fria/azulada para resaltar blancura
